vcf_sample	bed_sample
GTEX-1F75W	GTEX-1F75W-0005-SM-A9SMP
GTEX-1F7RK	GTEX-1F7RK-0006-SM-ACKV4
GTEX-1F88F	GTEX-1F88F-0005-SM-A9SK2
GTEX-1GF9U	GTEX-1GF9U-0005-SM-A9SK1
GTEX-1GF9V	GTEX-1GF9V-0006-SM-A96RD
GTEX-1GF9W	GTEX-1GF9W-0006-SM-ARZL1
GTEX-1GF9X	GTEX-1GF9X-0005-SM-A9G3R
GTEX-1GMR2	GTEX-1GMR2-0005-SM-ADEH3
GTEX-1GMR3	GTEX-1GMR3-0005-SM-ADEGR
GTEX-1GMR8	GTEX-1GMR8-0005-SM-ARZL2
GTEX-1GMRU	GTEX-1GMRU-0006-SM-AHZ21
GTEX-1GN1U	GTEX-1GN1U-0006-SM-ARU6G
GTEX-1GN1V	GTEX-1GN1V-0006-SM-ADEHD
GTEX-1GN1W	GTEX-1GN1W-0006-SM-A9SKL
GTEX-1GN2E	GTEX-1GN2E-0005-SM-ARU6L
GTEX-1GN73	GTEX-1GN73-0005-SM-ACKVI
GTEX-1GPI6	GTEX-1GPI6-0005-SM-ADEGT
GTEX-1GPI7	GTEX-1GPI7-0005-SM-A9G13
GTEX-1GTWX	GTEX-1GTWX-0006-SM-ARZL3
GTEX-1GZ2Q	GTEX-1GZ2Q-0005-SM-ARL71
GTEX-1GZ4H	GTEX-1GZ4H-0005-SM-ARZL7
GTEX-1GZHY	GTEX-1GZHY-0005-SM-ARZL6
GTEX-1I4MK	GTEX-1I4MK-0006-SM-A96RI
GTEX-1I6K7	GTEX-1I6K7-0005-SM-ARL72
GTEX-1ICG6	GTEX-1ICG6-0006-SM-A96RH
GTEX-1ICLY	GTEX-1ICLY-0005-SM-A9G16
GTEX-1IDFM	GTEX-1IDFM-0005-SM-ADEGX
GTEX-1IDJC	GTEX-1IDJC-0005-SM-A9G1C
GTEX-1IDJD	GTEX-1IDJD-0006-SM-ARZLC
GTEX-1IDJE	GTEX-1IDJE-0006-SM-A9G1B
GTEX-1IDJF	GTEX-1IDJF-0005-SM-ARU6P
GTEX-1JJ6O	GTEX-1JJ6O-0005-SM-DHXJ4
GTEX-1JKYN	GTEX-1JKYN-0006-SM-DHXJ5
GTEX-1JKYR	GTEX-1JKYR-0005-SM-DHXL5
GTEX-1JMLX	GTEX-1JMLX-0006-SM-DHXJ6
GTEX-1JMOU	GTEX-1JMOU-0006-SM-DHXJ7
GTEX-1JMPY	GTEX-1JMPY-0006-SM-DHXJ8
GTEX-1JMPZ	GTEX-1JMPZ-0006-SM-DHXJ9
GTEX-1JMQI	GTEX-1JMQI-0005-SM-DHXJA
GTEX-1JMQJ	GTEX-1JMQJ-0006-SM-DHXJD
GTEX-1JMQK	GTEX-1JMQK-0005-SM-CNPOE
GTEX-1JMQL	GTEX-1JMQL-0006-SM-DHXJB
GTEX-1JN1M	GTEX-1JN1M-0006-SM-DHXJE
GTEX-1JN6P	GTEX-1JN6P-0005-SM-DIPEH
GTEX-1JN76	GTEX-1JN76-0005-SM-EAZ3B
GTEX-1K2DA	GTEX-1K2DA-0005-SM-DIPE7
GTEX-1K2DU	GTEX-1K2DU-0005-SM-DIPE8
GTEX-1K9T9	GTEX-1K9T9-0006-SM-DIPE9
GTEX-1KAFJ	GTEX-1KAFJ-0006-SM-9WPO1
GTEX-1KANA	GTEX-1KANA-0006-SM-9YFLB
GTEX-1KANB	GTEX-1KANB-0006-SM-DIPE6
GTEX-1KANC	GTEX-1KANC-0006-SM-9YFL8
GTEX-1KD4Q	GTEX-1KD4Q-0006-SM-DIPEA
GTEX-1KD5A	GTEX-1KD5A-0006-SM-DIPEB
GTEX-1KWVE	GTEX-1KWVE-0005-SM-CYPSE
GTEX-1KXAM	GTEX-1KXAM-0005-SM-DIPEC
GTEX-1L5NE	GTEX-1L5NE-0005-SM-DIPEG
GTEX-1LB8K	GTEX-1LB8K-0005-SM-DIPED
GTEX-1LBAC	GTEX-1LBAC-0005-SM-DIPEE
GTEX-1LC47	GTEX-1LC47-0005-SM-COH2J
GTEX-1LG7Y	GTEX-1LG7Y-0005-SM-DKPQ7
